Acrylamide Conc. %,Bis-acrylamide conc %,Photo-initiator conc. %,Layer Height. (micron),Bottom Layer exposure time (s),Exposure time (s),Frequency (Hz),Storage modulus (Pa),Loss modulus (Pa)
10,0.3,1.5,30,50,6,6.309572697,1717.171875,240.5729523
10,0.3,1.5,30,50,6,10,1846.425781,285.1681519
10,0.3,1.5,30,50,6,0.01,1185.465088,289.3953857
10,0.3,1.5,30,50,6,0.015848933,1462.810547,230.2918091
10,0.3,1.5,30,50,6,0.025118863,1605.69397,205.310379
10,0.3,1.5,30,50,6,0.039810721,1704.305786,192.2484741
10,0.3,1.5,30,50,6,0.063095748,1781.550781,179.7244568
10,0.3,1.5,30,50,6,0.100000001,1845.062744,168.6250305
10,0.3,1.5,30,50,6,0.158489317,1899.265625,162.765274
10,0.3,1.5,30,50,6,0.251188636,1945.803223,158.4546509
10,0.3,1.5,30,50,6,0.398107171,1988.051514,156.6010742
10,0.3,1.5,30,50,6,0.630957365,2025.518799,157.1016693
10,0.3,1.5,30,50,6,1,2067.773926,164.0563202
10,0.3,1.5,30,50,6,1.584893227,2103.225098,175.6985931
10,0.3,1.5,30,50,6,2.511886358,2120.417236,195.522522
10,0.3,1.5,30,50,6,3.981071472,1951.706665,270.1116333
10,0.3,1.5,30,50,6,6.309572697,2151.919678,240.0037842
10,0.3,1.5,30,50,6,10,2179.372559,358.0857239
10,0.3,1.5,90,50,6,0.01,3144.900879,354.9623108
10,0.3,1.5,90,50,6,0.015848933,3362.592041,364.7145081
10,0.3,1.5,90,50,6,0.025118863,3500.552002,354.4235229
10,0.3,1.5,90,50,6,0.039810721,3603.82959,279.4587708
10,0.3,1.5,90,50,6,0.063095748,3696.370605,266.8266907
10,0.3,1.5,90,50,6,0.100000001,3766.425537,243.1165161
10,0.3,1.5,90,50,6,0.158489317,3833.567871,221.8450623
10,0.3,1.5,90,50,6,0.251188636,3891.05127,208.2646027
10,0.3,1.5,90,50,6,0.398107171,3945.285156,206.6424103
10,0.3,1.5,90,50,6,0.630957365,3996.454834,204.7433777
10,0.3,1.5,90,50,6,1,4050.068848,208.5401611
10,0.3,1.5,90,50,6,1.584893227,4101.943848,221.320694
10,0.3,1.5,90,50,6,2.511886358,4148.8125,239.8839417
10,0.3,1.5,90,50,6,3.981071472,4181.987305,267.6699829
10,0.3,1.5,90,50,6,6.309572697,3928.458008,376.6417542
10,0.3,1.5,90,50,6,10,4428.666992,595.90979
10,0.3,1.5,90,50,6,0.01,3146.589111,284.2670898
10,0.3,1.5,90,50,6,0.015848933,3305.578613,269.7938538
10,0.3,1.5,90,50,6,0.025118863,3421.422607,320.041687
10,0.3,1.5,90,50,6,0.039810721,3518.221436,283.9009094
10,0.3,1.5,90,50,6,0.063095748,3578.630615,256.0275879
10,0.3,1.5,90,50,6,0.100000001,3636.926514,240.7263184
10,0.3,1.5,90,50,6,0.158489317,3699.262939,208.1870728
10,0.3,1.5,90,50,6,0.251188636,3751.670654,191.1188049
10,0.3,1.5,90,50,6,0.398107171,3803.695068,181.4766235
10,0.3,1.5,90,50,6,0.630957365,3853.893311,190.8957977
10,0.3,1.5,90,50,6,1,3894.567139,193.0374451
10,0.3,1.5,90,50,6,1.584893227,3938.600586,203.171402
10,0.3,1.5,90,50,6,2.511886358,3978.957764,221.2213287
10,0.3,1.5,90,50,6,3.981071472,3988.846191,253.0686798
10,0.3,1.5,90,50,6,6.309572697,3832.191895,312.4916077
10,0.3,1.5,90,50,6,10,4078.695801,518.1386719
10,0.3,1.5,90,50,6,0.01,3478.505371,567.4904175
10,0.3,1.5,90,50,6,0.015848933,3798.558105,409.011322
10,0.3,1.5,90,50,6,0.025118863,3999.41748,352.2207031
10,0.3,1.5,90,50,6,0.039810721,4132.508301,355.7645264
10,0.3,1.5,90,50,6,0.063095748,4248.836914,311.4745789
10,0.3,1.5,90,50,6,0.100000001,4332.520996,296.6139832
10,0.3,1.5,90,50,6,0.158489317,4416.027832,268.2415466
10,0.3,1.5,90,50,6,0.251188636,4485.307617,241.3153687
10,0.3,1.5,90,50,6,0.398107171,4549.405273,230.0028229
10,0.3,1.5,90,50,6,0.630957365,4605.569336,224.9871216
10,0.3,1.5,90,50,6,1,4665.07373,227.1977386
10,0.3,1.5,90,50,6,1.584893227,4718.911133,238.0254822
10,0.3,1.5,90,50,6,2.511886358,4777.296387,256.1818848
10,0.3,1.5,90,50,6,3.981071472,4804.125,283.8210754
10,0.3,1.5,90,50,6,6.309572697,4490.391113,420.9407654
10,0.3,1.5,90,50,6,10,4826.671875,313.4855957
10,0.3,1.5,90,50,6,0.01,2720.877441,360.6934814
10,0.3,1.5,90,50,6,0.015848933,2952.370361,309.2558594
10,0.3,1.5,90,50,6,0.025118863,3119.897217,281.7051086
10,0.3,1.5,90,50,6,0.039810721,3225.857178,254.866806
